property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/20/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/21/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/22/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/23/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/24/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/25/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/26/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/27/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/28/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1360,1360,07/29/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1365,1365,07/30/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1365,1365,07/31/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1365,1365,08/01/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1385,1385,08/02/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1385,1385,08/03/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1385,1385,08/04/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1385,1385,08/05/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,08/06/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,08/07/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1375,1375,08/08/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,08/09/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,08/10/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1420,1420,08/11/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1420,1420,08/12/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1435,1435,08/13/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1435,1435,08/14/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1435,1435,08/15/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1410,1410,08/16/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1410,1410,08/17/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,08/18/2023,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,08/19/2023,True
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1535,1535,02/28/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1550,1550,02/29/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1540,1540,03/01/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1530,1530,03/02/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1530,1530,03/03/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1525,1525,03/04/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1495,1495,03/05/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1495,1495,03/06/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1495,1495,03/07/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/08/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/09/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/10/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/11/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/12/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/13/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/14/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/15/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/16/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/17/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/18/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/19/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/20/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/21/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/22/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/23/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/24/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/25/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1470,1470,03/26/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1455,1455,03/27/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,03/28/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,03/29/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,03/30/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,03/31/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,04/01/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1380,1380,04/02/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1355,1355,04/03/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1355,1355,04/04/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1355,1355,04/05/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1385,1385,04/06/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1435,1435,04/07/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1425,1425,04/08/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1405,1405,04/09/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1390,1390,04/10/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1445,1445,04/11/2024,False
Ryland Park,"Columbus, OH",101-5392,2x2,1053,1445,1445,04/12/2024,True
Ryland Park,"Columbus, OH",102-5391,1x1,610,1180,1180,09/18/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1175,1175,09/19/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1170,1170,09/20/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1170,1170,09/21/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1170,1170,09/22/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1175,1175,09/23/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1175,1175,09/24/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1205,1205,09/25/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1185,1185,09/26/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1240,1240,09/27/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1240,1240,09/28/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1260,1260,09/29/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,09/30/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,10/01/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1225,1225,10/02/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/03/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/04/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/05/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/06/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/07/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/08/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1245,1245,10/09/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,10/10/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,10/11/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,10/12/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1270,1270,10/13/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/14/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/15/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/16/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/17/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/18/2024,False
Ryland Park,"Columbus, OH",102-5391,1x1,610,1275,1275,10/19/2024,True
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/21/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/22/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/23/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/24/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/25/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/26/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/27/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/28/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/29/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/30/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,10/31/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1460,1460,11/01/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/02/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/03/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/04/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/05/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/06/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/07/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/08/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/09/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/10/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/11/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/12/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/13/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/14/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/15/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/16/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/17/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/18/2023,False
Ryland Park,"Columbus, OH",102-5392,2x2,1053,1440,1440,11/19/2023,True
Ryland Park,"Columbus, OH",102-5421,1x1,610,1320,1320,06/17/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1320,1320,06/18/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1355,1355,06/19/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1355,1355,06/20/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1400,1400,06/21/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1400,1400,06/22/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1300,1300,06/23/2023,False
Ryland Park,"Columbus, OH",102-5421,1x1,610,1300,1300,06/24/2023,True
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/22/2023,False
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/23/2023,False
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/24/2023,False
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/25/2023,False
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/26/2023,False
Ryland Park,"Columbus, OH",103-5392,2x2,1053,1435,1435,09/27/2023,True
Ryland Park,"Columbus, OH",103-5421,1x1,720,1190,1190,04/20/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1190,1190,04/21/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1190,1190,04/22/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1185,1185,04/23/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1180,1180,04/24/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1190,1190,04/25/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1205,1205,04/26/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1200,1200,04/27/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1200,1200,04/28/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1200,1200,04/29/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1225,1225,04/30/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1225,1225,05/01/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1225,1225,05/02/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1220,1220,05/03/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1220,1220,05/04/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/05/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1285,1285,05/06/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1285,1285,05/07/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1285,1285,05/08/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1285,1285,05/09/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1295,1295,05/10/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1320,1320,05/11/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1320,1320,05/12/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1320,1320,05/13/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1315,1315,05/14/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/15/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1345,1345,05/16/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/17/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/18/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/19/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/20/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1340,1340,05/21/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1360,1360,05/22/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1360,1360,05/23/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1355,1355,05/24/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1360,1360,05/25/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1360,1360,05/26/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1355,1355,05/27/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1355,1355,05/28/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,05/29/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,05/30/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,05/31/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,06/01/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,06/02/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,06/03/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1310,1310,06/04/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1305,1305,06/05/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1305,1305,06/06/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,06/07/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1270,1270,06/08/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1270,1270,06/09/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1260,1260,06/10/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1295,1295,06/11/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1295,1295,06/12/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1290,1290,06/13/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1290,1290,06/14/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1290,1290,06/15/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1290,1290,06/16/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,06/17/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,06/18/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1250,1250,06/19/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,06/20/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1240,1240,06/21/2024,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1240,1240,06/22/2024,True
Ryland Park,"Columbus, OH",103-5421,1x1,720,1315,1315,05/01/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1300,1300,05/02/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1300,1300,05/03/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1300,1300,05/04/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1300,1300,05/05/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,05/06/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,05/07/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1275,1275,05/08/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1255,1255,05/09/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1255,1255,05/10/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1255,1255,05/11/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1240,1240,05/12/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1240,1240,05/13/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1230,1230,05/14/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1230,1230,05/15/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/16/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/17/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/18/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/19/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/20/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1245,1245,05/21/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/22/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/23/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/24/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/25/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1235,1235,05/26/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1172,1235,05/27/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1197,1235,05/28/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1164,1220,05/29/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1164,1220,05/30/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1182,1220,05/31/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1182,1220,06/01/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1182,1220,06/02/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1197,1235,06/03/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1197,1235,06/04/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1203,1245,06/05/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1203,1245,06/06/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1203,1245,06/07/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1218,1260,06/08/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1198,1260,06/09/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1192,1255,06/10/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1192,1255,06/11/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1168,1230,06/12/2025,False
Ryland Park,"Columbus, OH",103-5421,1x1,720,1168,1230,06/13/2025,True
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1487,1570,07/11/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1482,1565,07/12/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1500,1575,07/13/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1495,1570,07/14/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1495,1570,07/15/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1455,1530,07/16/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1445,1520,07/17/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1450,1525,07/18/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1440,1515,07/19/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1450,1525,07/20/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1450,1525,07/21/2025,False
Ryland Park,"Columbus, OH",104-5391,2x2,1053,1525,1525,07/22/2025,True
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1380,1380,03/31/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1380,1380,04/01/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1380,1380,04/02/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1355,1355,04/03/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1355,1355,04/04/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1355,1355,04/05/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1385,1385,04/06/2024,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1385,1385,04/07/2024,True
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1430,1430,04/05/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1430,1430,04/06/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1430,1430,04/07/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1430,1430,04/08/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1430,1430,04/09/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1440,1440,04/10/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1440,1440,04/11/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1445,1445,04/12/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1445,1445,04/13/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1445,1445,04/14/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1445,1445,04/15/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1445,1445,04/16/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/17/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/18/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/19/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/20/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/21/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1470,1470,04/22/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1515,1515,04/23/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/24/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/25/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/26/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/27/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/28/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/29/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1490,1490,04/30/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/01/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/02/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/03/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/04/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/05/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/06/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/07/2025,False
Ryland Park,"Columbus, OH",104-5392,2x2,1053,1475,1475,05/08/2025,True
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/02/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/03/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/04/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/05/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/06/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/07/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/08/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/09/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/10/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/11/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1315,1315,09/12/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1320,1320,09/13/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1320,1320,09/14/2023,False
Ryland Park,"Columbus, OH",104-5421,1x1,720,1320,1320,09/15/2023,False
